Position,Business Name,Location,Status,Description,Asking Price,Revenue,Cash Flow,Business URL,Image URL,Image Alt Text
11,Papa's Pizza Land Franchise In Lindsay,"Lindsay, Ontario, Canada",NEW,Hit the ground running with this turn-key popular pizza shop in Lindsay. Papas Pizza Land is a growing Franchise with 12 locations in Ontario. Purchase price includes initial Franchise Fee. ZERO... More details »,"$99,000 (CAD)",$250K - $500K (CAD),Undisclosed,https://canada.businessesforsale.com/canadian/papa-s-pizza-land-franchise-in-lindsay.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747570mediumthumbnail.jpg?cD/x3f8C69/lSw3T5EzCKw==,papa's pizza land franchise
12,"Megamind Tutorial Business With Real Property, Oakville, Toronto","Oakville, Ontario, Canada",NEW,"Growing Megamind tutorial business located in West Oakville. Franchise expires in 18-months, option to renew with Megamind or convert to an independent tutorial business. Full outfitted classrooms... More details »","$1,180,000 (CAD)",$100K - $250K (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/megamind-tutorial-business-with-real-property-oakville-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747516mediumthumbnail.jpg?5z3DnD73Da6ydaYhLsHouA==,megamind tutorial business with
13,Trend Hijacking Online Franchise in Ottawa,"Ottawa, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/trend-hijacking?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise9582/browselogobig.jpg,trend hijacking online franchise
14,Optical Boutique And Optometry Site In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",NEW,"Calling all opticians and optometrists! Take charge of a thriving optical store in a prime location on Queen West, Toronto. This established practice offers a strong community presence, promising... More details »","$375,000 (CAD)",$250K - $500K (CAD),On request,https://canada.businessesforsale.com/canadian/optical-boutique-and-optometry-site-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3745973mediumthumbnail.jpg?1qLB4ndIcbvTB+tVU10ujA==,optical boutique optometry site
15,Busy Trailer Park In Longlac,"Longlac, Ontario, Canada",NEW,"Huge 6.7 Acres Property for Sale. 50 Lots with Water, Sewer and Power Set up and Ready for Trailers. Property currently has 24% - 28% occupancy. Local Rental in this town has gone from $400 for a two... More details »","$975,000 (CAD)",$100K - $250K (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/busy-trailer-park-in-longlac.aspx,https://canada.businessesforsale.com/uploadsstatic/a3745396mediumthumbnail.jpg?mkBacROdi85oaOU9bXWjXw==,busy trailer park longlac
16,"Kindling Cannabis in Cornwall, Ontario","Cornwall, Ontario, Ontario",,"License Fee: On request
Investment: On request
Capital: $150,000",On request,On request,"$150,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/kindling-cannabis-opportunity?location=Cornwall%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8368/browselogobig.jpg,kindling cannabis
17,Profit Making Pizza Franchisee In Ontario,"Windsor, Ontario, Canada",NEW,"GreatOpportunity #Windsor #Ontario. Franchised Pizza Takeout Restaurant for Sale in Windsor,Ontario. 25% sales growth this year (Absentee Owner, No Marketing, Limited Operating Hours) 20-25% Profit... More details »",On request,On request,On request,https://canada.businessesforsale.com/canadian/profit-making-pizza-franchisee-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,profit making pizza franchisee
18,Leading Residential Wood Framing Company In GTA,"Greater Toronto Area, Ontario, Canada",NEW,"Founded over 25 years ago in the Greater Toronto Area (GTA), this residential framing company specializes in low and mid-rise residential projects. As one of the largest framing companies in Ontario... More details »","$36,000,000 (CAD)","$22,150,000 (CAD)","$6,100,000 (CAD)",https://canada.businessesforsale.com/canadian/leading-residential-wood-framing-company-in-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747198mediumthumbnail.jpg?Ng2qT+Ms0GM3kEiKPV/Cnw==,leading residential wood framing
19,Lingotot - Language Teaching Franchise in Toronto,"Toronto, Ontario",,"Franchise Fee: £15,000
Investment: On request
Capital: £1,000","£15,000",On request,"£1,000",https://canada.businessesforsale.com/canadian/franchises/opportunities/lingotot-franchise-int?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8513/browselogobig.jpg,lingotot language teaching franchise
20,Established Liquidation Business In Thornhill,"Thornhill, Ontario, Canada",NEW,"Liquidation Store, in a high traffic plaza, with full inventory and business plan + training about the market and supply access. More details »",On request,On request,On request,https://canada.businessesforsale.com/canadian/established-liquidation-business-in-thornhill.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747184mediumthumbnail.jpg?mKsg8vffmzMkDLj8oZmNqw==,established liquidation business thornhill
21,Profitable Flower Shop In New Tecumseth,"New Tecumseth, Ontario, Canada",NEW,"Flower and Gift Shop for Sale approximately 1 hour north of downtown Toronto, Ontario. An established , reputable and profitable business, in a rapidly growing township. We serve a wide area locally... More details »","$135,000 (CAD)","$200,000 (CAD)",$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/profitable-flower-shop-in-new-tecumseth.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747179mediumthumbnail.jpg?Y6/mxcHkMHO0HTFxuHLX0w==,profitable flower shop new
22,S.A.M Singapore Math Franchise in Mississauga,"Mississauga, Ontario",,"Franchise Fee: CAD $34,000
Investment: CAD $80,000 - $140,00
Capital: $110,000","CAD $34,000","CAD $80,000 - $140,00","$110,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/seriously-addictive-mathematics-canada?location=Mississauga,https://canada.businessesforsale.com/canadian/franchises/images/franchise8317/browselogobig.jpg,s a m singapore
23,Niche Perfume Distributor Business In Greater Toronto Area,"GTA, Ontario, Canada",NEW,European Niche Perfume Distributorship for Sale – Canada. An exclusive opportunity to own the Canadian distributorship of a renowned European luxury niche perfume brand. This established business... More details »,On request,On request,On request,https://canada.businessesforsale.com/canadian/niche-perfume-distributor-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747087mediumthumbnail.jpg?/qENk4LVLib5m+QJpV50Bw==,niche perfume distributor business
24,Well-Known Bridal Store In Ontario,"Ontario, Canada",NEW,"Our bridal store is known for it's customer service, unique store layout, and exclusive designers. We serve brides from all over Southwestern Ontario. Owner is ready to move on and follow her other... More details »","$55,000 (CAD)",$100K - $250K (CAD),On request,https://canada.businessesforsale.com/canadian/well-known-bridal-store-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3747032mediumthumbnail.jpg?1/J2F3UXtHQl+IX5T+MrMQ==,well-known bridal store ontario
25,"Handyman Connection Canadian Home Services Franchise in London, Ontario","London, Ontario, Ontario",,"Franchise Fee: $65,000
Investment: On request
Capital: $35,000","$65,000 ",On request,"$35,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=London%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,handyman connection canadian home
26,Thriving Barbershop In Ontario,"Ontario, Canada",NEW,Established Barbershop for Sale. Are you looking for a thriving business opportunity in Southern Ontario? Look no further! Current owner (8years)retiring -61 years well-established barbershop... More details »,$100K - $250K (CAD),On request,On request,https://canada.businessesforsale.com/canadian/thriving-barbershop-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746827mediumthumbnail.jpg?WHIH2LtwneCuIQh7aQ6/iQ==,thriving barbershop ontario
27,Brewery In Toronto,"Toronto, Ontario, Canada",UPDATED,"Full turnkey brewery for sale. Located just east of downtown Toronto. 200,000 litre capacity. Brewhouse and several fermenters, custom furnace, liquor tank, canning line. All high quality and made in... More details »",$500K - $1M (CAD),$500K - $1M (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/brewery-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,brewery toronto
28,"barBURRITO in Welland, Ontario (Niagara Region)","Welland, Ontario (Niagara Region), Ontario",,"Franchise Fee: $25,000
Investment: $390K - $420K
Capital: $140K - $150K","$25,000 ",$390K - $420K,$140K - $150K,https://canada.businessesforsale.com/canadian/franchises/opportunities/barburrito?location=Welland%2C%20Ontario%20%28Niagara%20Region%29,https://canada.businessesforsale.com/canadian/franchises/images/franchise7648/browselogobig.jpg,barburrito
29,Profitable Cleaning Business,"Kawartha Lakes, Ontario, Canada",NEW,Pre approved for conditional financing. We help buyers seek financing with a minimum of 10% cash required. This well-established cleaning business is now available for a new owner to take it to the... More details »,"$249,000 (CAD)","$201,000 (CAD)","$66,000 (CAD)",https://canada.businessesforsale.com/canadian/profitable-cleaning-business-for-sale-3.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746702mediumthumbnail.jpg?7w1KNKROF3lMP8Qko2KVnA==,profitable cleaning business for
30,Lucrative Beauty Clinic In Toronto,"Toronto, Ontario, Canada",NEW,"Beauty Clinic for sale in Mid town Toronto. over 1 m sales. with loyal client, equipped with modern technology. strong reputation. More details »",$500K - $1M (CAD),Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/lucrative-beauty-clinic-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,lucrative beauty clinic toronto
31,Grill Hero – Unique BBQ Cleaning Franchise in Kitchener-Waterloo-Guelph,"Kitchener-Waterloo-Guelph, Ontario",,"Franchise Fee: $30,000 CAD
Investment: On request
Capital: $45,000 CAD","$30,000 CAD",On request,"$45,000 CAD",https://canada.businessesforsale.com/canadian/franchises/opportunities/grill-hero-franchise?location=Kitchener-Waterloo-Guelph,https://canada.businessesforsale.com/canadian/franchises/images/franchise8519/browselogobig.jpg,grill hero unique bbq
32,Successful Nail Studio In A Busy Corner Location In Markham,"Markham, Ontario, Canada",NEW,"Incredible Opportunity to Own a Successful Nail Studio in a Super Busy Corner Location in Thornhill. Offering Manicures, Pedicures, Hand Treatments, as well as Eye Lash Extensions, and Nail Tech... More details »","$129,000 (CAD)",On request,Undisclosed,https://canada.businessesforsale.com/canadian/successful-nail-studio-in-a-busy-corner-location-in-markham.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746489mediumthumbnail.jpg?upWCM77v7NtZmDZEwkmeyA==,successful nail studio a
33,Thriving Lending Automation Business In Scarborough,"Scarborough, Ontario, Canada",,"Asking Price: $175,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$175,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/thriving-lending-automation-business-in-scarborough.aspx,https://canada.businessesforsale.com/uploadsstatic/a3352963mediumthumbnail.jpg?QOQ8kB7XvA0sntu5/lSoFA==,thriving lending automation business
34,Johnny Greeko's - Greek Restaurant Franchise in Durham Region,"Durham Region, Ontario",,"Franchise Fee: $30,000 CAD
Investment: On request
Capital: $150,000-$200,000 CAD","$30,000 CAD",On request,"$150,000-$200,000 CAD",https://canada.businessesforsale.com/canadian/franchises/opportunities/johnny-greekos-franchise?location=Durham%20Region,https://canada.businessesforsale.com/canadian/franchises/images/franchise8429/browselogobig.jpg,johnny greeko's greek restaurant
35,Booming Canadian Licensee Opportunity In Ottawa,"Ottawa, Ontario, Canada",,"Asking Price: $100K - $250K (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed",$100K - $250K (CAD),Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/booming-canadian-licensee-opportunity-in-ottawa.aspx,https://canada.businessesforsale.com/uploadsstatic/a3473501mediumthumbnail.jpg?ugwqZIP/KG9LXnbsSPqD2w==,booming canadian licensee opportunity
36,Lucrative Territory Licenses In Mississauga,"Mississauga, Ontario, Canada",,"Asking Price: $160,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$160,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/lucrative-territory-licenses-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3473502mediumthumbnail.jpg?7xTYYuU+tdzbUFjhFEWSKA==,lucrative territory licenses mississauga
37,Lava Grill Franchise in London,"London, Ontario",,"Franchise Fee: $30,000
Investment: $400,000 - $500,000","$30,000 ","$400,000 - $500,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/lava-grill-franchise?location=London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8031/browselogobig.jpg,lava grill franchise
38,Multi-generational Skin Care Clinic In Mississauga,"Mississauga, Ontario, Canada",NEW,THIS IS A CONFIDENTIAL LISTING: PLEASE CONTACT THE BROKER AND NOT THE STORE. Established Skin Care Clinic for Sale: A Rare Opportunity. Step into a legacy of beauty and wellness with this exceptional... More details »,"$350,000 (CAD)","$320,000 (CAD)",On request,https://canada.businessesforsale.com/canadian/multi-generational-skin-care-clinic-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3746353mediumthumbnail.jpg?HAsHCV84O6EcXKHTI1eoHg==,multi-generational skin care clinic
39,Profitable And Established Training Center In Scarborough,"Scarborough, Ontario, Canada",UPDATED,"Now offering a license to operate in the following locations: Mississauga, Brampton, Pickering, Scarborough and Downtown, Toronto. Peak Excellence Center for Continuing Education Inc is home to over... More details »","$75,000 (CAD)",$500K - $1M (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/profitable-and-established-training-center-in-scarborough.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,profitable established training center
40,Gabriel Pizza Franchise in Belleville,"Belleville, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/gabriel-pizza-franchise?location=Belleville,https://canada.businessesforsale.com/canadian/franchises/images/franchise8468/browselogobig.jpg,gabriel pizza franchise
41,Lucrative Online Business Opportunity - Booming Pet Industry In Mississauga,"Mississauga, Ontario, Canada",NEW,"Online Business Opportunity. The pet industry is poised to swell from $320 billion today to almost $500 billion by 2030, according to a new report from Bloomberg Intelligence (BI). There are an... More details »","$8,500 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/lucrative-online-business-opportunity-booming-pet-industry-in-mississauga.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,lucrative online business opportunity
42,"Profitable Baking Business With Established Customer Base, Ontario","Ontario, Canada",NEW,"Small baking business and dessert food truck comes with zero debt or liabilities, and full training provided by the founding owners/operators. No staff or contractors, fully owner operated. Well... More details »","$325,000 (CAD)","$240,000 (CAD)",On request,https://canada.businessesforsale.com/canadian/profitable-baking-business-with-established-customer-base-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,profitable baking business with
43,"Just Cuts Haircutting Franchise in Eastgate Square, Hamilton","Eastgate Square, Hamilton, Ontario",,"Franchise Fee: On Request
Investment: On request",On Request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/just-cuts-franchise-ca?location=Eastgate%20Square%2C%20Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8439/browselogobig.jpg,just cuts haircutting franchise
44,Lucrative Corporation In Ontario,"TORONTO, Ontario, Canada",,"Asking Price: On request
Revenue: On request
Cash Flow: On request",On request,On request,On request,https://canada.businessesforsale.com/canadian/lucrative-corporation-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3744016mediumthumbnail.jpg?Kj6acnLkl4les7b5KZ2jOg==,lucrative corporation ontario
45,Profitable & Established Franchise In Toronto,"Toronto, Ontario, Canada",NEW,"For sale is a well-established and profitable quick-service restaurant located at Bay & College in Toronto. This turnkey operation enjoys a prime, high-traffic location, consistently attracting a... More details »",$250K - $500K (CAD),$500K - $1M (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/profitable-and-established-franchise-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,profitable established franchise toronto
46,Waffle To Go - Prime Mall Location Franchise in Cambridge,"Cambridge, Ontario",,"Franchise Fee: $20,000
Investment: $300,000
Capital: $100,000","$20,000 ","$300,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Cambridge,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,waffle to go prime
47,Established CNC Shop In Courtice,"Courtice, Ontario, Canada",,"Asking Price: $62,000 (CAD)
Revenue: $250K - $500K (CAD)
Cash Flow: $50K - $100K (CAD)","$62,000 (CAD)",$250K - $500K (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/established-cnc-shop-in-courtice.aspx,https://canada.businessesforsale.com/uploadsstatic/a3743503mediumthumbnail.jpg?/wunPiKjk8xDmRq29rtfFQ==,established cnc shop courtice
48,Work From Home Cleaning Business,"Toronto, Ontario, Canada",,"Asking Price: $17,000 (CAD)
Revenue: Under $100K (CAD)
Cash Flow: $50K - $100K (CAD)","$17,000 (CAD)",Under $100K (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/work-from-home-cleaning-business-for-sale-2.aspx,https://canada.businessesforsale.com/uploadsstatic/a3184767mediumthumbnail.jpg?+OIfEIBfNYxwzSOt4+lnuQ==,work from home cleaning
49,Senior Helpers - Care Franchise in Brampton,"Brampton, Ontario",,"Franchise Fee: On Request
Investment: On request",On Request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Brampton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,senior helpers care franchise
50,Established Multidisciplinary Clinic In Georgina,"Georgina, Ontario, Canada",UPDATED,Very established multidisciplinary clinic with 8 treatment rooms and fire and ice room with swimming pool. Stand out from the rest of the facilities locally with on trend health and wellness... More details »,On request,$1M - $5M (CAD),On request,https://canada.businessesforsale.com/canadian/established-multidisciplinary-clinic-in-georgina.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,established multidisciplinary clinic georgina
51,Established HVAC/plumbing/electrical Trades Website W/ Built-in Booking System In Mississauga,"Mississauga, Ontario, Canada",,"Asking Price: $1,500 (CAD)
Revenue: On request
Cash Flow: On request","$1,500 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/established-hvac-plumbing-electrical-trades-website-w-built-in-booking-system-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3743206mediumthumbnail.jpg?ciVOzsBAY9MJ77SqTHSWdw==,established hvac plumbing electrical
52,INS Market - Convenience Store Franchise in 948 St. Clair Ave W,"948 St. Clair Ave W, Ontario",,"Franchise Fee: $30,000
Investment: $145,000
Capital: $100,000","$30,000 ","$145,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=948%20St.%20Clair%20Ave%20W,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,ins market convenience store
53,"Cottage Resort And Residential House In Hastings, Ontario","Hasings, Ontario, Canada",UPDATED,"A turnkey cottage resort, Lured Away Cottages, with a residential building in Rice Lake, Hastings, is now for sale. This is a trial listing. If you are interested in this business, contact Lured Away... More details »","$1,385,000 (CAD)",$100K - $250K (CAD),$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/cottage-resort-and-residential-house-in-hastings-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3743363mediumthumbnail.jpg?WijBdYiXTvCMTMRc9hSnGw==,cottage resort residential house
54,Development Project In Brantford Canada- Residential,"Brantford, Ontario, Canada",,"Asking Price: $500,000 (CAD)
Revenue: On request
Cash Flow: $500,000 (CAD)","$500,000 (CAD)",On request,"$500,000 (CAD)",https://canada.businessesforsale.com/canadian/development-project-in-brantford-canada-residential.aspx,https://canada.businessesforsale.com/uploadsstatic/a3743013mediumthumbnail.jpg?QxP6XCioZuX45/W+iXJ1+w==,development project brantford canada
55,"Chef’s Door - Restaurant Franchise in St. Catherines, ON","St. Catherines, ON, Ontario",,"Franchise Fee: $35,000
Investment: On request","$35,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=St.%20Catherines%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,chef s door restaurant
56,Kumon Centre In Ottawa,"Ottawa, Ontario, Canada",NEW,Kumon is the World’s Largest Education Franchise and is ranked No. 1 in the Tutoring Category for the 21 consecutive years and has been ranked in the top ten of the overall Entrepreneur Magazine... More details »,"$450,000 (CAD)",$500K - $1M (CAD),On request,https://canada.businessesforsale.com/canadian/kumon-centre-in-ottawa.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,kumon centre ottawa
57,Established 20+ Year Custom Trade Show Display Manufacturer,"Greater Toronto Area, Ontario, Canada",NEW,"An outstanding opportunity to acquire a well-established custom trade show display company is now available due to the owner's planned retirement. With over two decades of experience, this business... More details »","$1,400,000 (CAD)","$2,320,000 (CAD)","$312,000 (CAD)",https://canada.businessesforsale.com/canadian/established-20-year-custom-trade-show-display-manufacturer.aspx,https://canada.businessesforsale.com/uploadsstatic/a3745094mediumthumbnail.jpg?FJV2I0ZfQv5Pum2NCWiAUQ==,established 20+ year custom
58,ONESource Moving Solutions - Specialty Move Management Franchise in Hamilton,"Hamilton, Ontario",,"Franchise Fee: $30,000
Investment: On request","$30,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/onesource-moving-solutions-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise9585/browselogobig.jpg,onesource moving solutions specialty
59,Well Established Highly Profitable Salon & Spa,"Durham Region, Ontario, Canada",NEW,"Pre approved for financing. We help buyers seek financing with a minimum of 10% cash required. Looking for a hair salon where luxury meets artistry? 30% SDE. For over 18 years, this one-of-a-kind... More details »","$1,499,000 (CAD)","$1,850,000 (CAD)","$618,000 (CAD)",https://canada.businessesforsale.com/canadian/well-established-highly-profitable-salon-and-spa.aspx,https://canada.businessesforsale.com/uploadsstatic/a3745092mediumthumbnail.jpg?xJBrzuF2aWRPBICXfHQP4g==,well established highly profitable
60,Valuable Payday License In Ontario,"Ontario, Canada",,"Asking Price: $4,500 (CAD)
Revenue: On request
Cash Flow: On request","$4,500 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/valuable-payday-license-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,valuable payday license ontario
61,An Even Better Place 2 Work – High-Return Employee Engagement Franchise in Ottawa,"Ottawa, Ontario",,"Franchise Fee: €10,000
Investment: On request","€10,000",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/an-even-better-place-to-work-franchise-canada?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8367/browselogobig.jpg,an even better place
